ALMA,ALMA SA 5401
AVON,AVON SA 5501
BALAKLAVA,BALAKLAVA SA 5461
BARABBA,BARABBA SA 5460
BARUNGA GAP,BARUNGA GAP SA 5520
BEAUFORT,BEAUFORT SA 5550
BLYTH,BLYTH SA 5462
BOWILLIA,BOWILLIA SA 5461
BOWMANS,BOWMANS SA 5550
BRINKWORTH,BRINKWORTH SA 5464
BUMBUNGA,BUMBUNGA SA 5520
BURNSFIELD,BURNSFIELD SA 5520
BUTE,BUTE SA 5560
CONDOWIE,CONDOWIE SA 5464
DALKEY,DALKEY SA 5461
ERITH,ERITH SA 5461
EVERARD CENTRAL,EVERARD CENTRAL SA 5461
GOYDER,GOYDER SA 5461
GRACE PLAINS,GRACE PLAINS SA 5502
HALBURY,HALBURY SA 5461
HAMLEY BRIDGE,HAMLEY BRIDGE SA 5401
HART,HART SA 5464
HOPE GAP,HOPE GAP SA 5555
HOSKIN CORNER,HOSKIN CORNER SA 5461
HOYLETON,HOYLETON SA 5453
INKERMAN,INKERMAN SA 5550
KALLORA,KALLORA SA 5550
KYBUNGA,KYBUNGA SA 5453
LAKE VIEW,LAKE VIEW SA 5555
LOCHIEL,LOCHIEL SA 5510
LONG PLAINS,LONG PLAINS SA 5501
MAROLA,MAROLA SA 5464
MOUNT TEMPLETON,MOUNT TEMPLETON SA 5461
MUNDOORA,MUNDOORA SA 5555
NANTAWARRA,NANTAWARRA SA 5550
OWEN,OWEN SA 5460
PINERY,PINERY SA 5460
PORT WAKEFIELD,PORT WAKEFIELD SA 5550
PROOF RANGE,PROOF RANGE SA 5550
ROCHESTER,ROCHESTER SA 5464
SAINTS,SAINTS SA 5461
SALTER SPRINGS,SALTER SPRINGS SA 5401
SNOWTOWN,SNOWTOWN SA 5520
SOUTH HUMMOCKS,SOUTH HUMMOCKS SA 5550
STOCKYARD CREEK,STOCKYARD CREEK SA 5460
STOW,STOW SA 5461
WATCHMAN,WATCHMAN SA 5461
WHITWARTA,WHITWARTA SA 5461
WILD HORSE PLAINS,WILD HORSE PLAINS SA 5501
WOKURNA,WOKURNA SA 5520
